Nome prodotto;Prezzo;Link;Occasione;Per chi;Et�;Tipo persona;Sesso;Budget;Categoria regalo;Immagine;MinAge
Album Vasco Rossi 4.0;49,99;https://www.amazon.it/Vasco-Rossi-4-0-4-CD/dp/B071VWLPHX/ref=tmm_acd_swatch_0;Natale;Amico;14-55;Emotiva;Maschile;??;Musica & hobby;https://m.media-amazon.com/images/I/51BEfYKHrpL._AC_.jpg;0
Album Carmen Consoli - Volevo fare la Rock Star;53;https://www.amazon.it/Volevo-fare-rockstar-CD-Autografato/dp/B09DLSSQR1/ref=zg_mg_g_music_d_sccl_20/261-1041322-4088136?psc=1;Compleanno;Amico;14-55;Emotiva;Femminile;??;Musica & hobby;https://m.media-amazon.com/images/I/51XWVKpCLLL._AC_.jpg;0
Album Carmen Consoli - Volevo fare la Rock Star;53;https://www.amazon.it/Volevo-fare-rockstar-CD-Autografato/dp/B09DLSSQR1/ref=zg_mg_g_music_d_sccl_20/261-1041322-4088136?psc=1;Natale;Amico;14-55;Emotiva;Femminile;??;Musica & hobby;https://m.media-amazon.com/images/I/51XWVKpCLLL._AC_.jpg;0
Album Tiziano Ferro - Accetto Miracoli;10,85;https://www.amazon.it/Accetto-Miracoli-Vinile-Esclusiva-Amazon/dp/B07ZG6PDS1/ref=zg_mg_g_music_d_sccl_38/261-1041322-4088136?psc=1;Compleanno;Amico;14-55;Emotiva;Unisex;?;Musica & hobby;https://m.media-amazon.com/images/I/31YbKMWE6YL._AC_.jpg;0
Album Tiziano Ferro - Accetto Miracoli;10,85;https://www.amazon.it/Accetto-Miracoli-Vinile-Esclusiva-Amazon/dp/B07ZG6PDS1/ref=zg_mg_g_music_d_sccl_38/261-1041322-4088136?psc=1;Natale;Amico;14-55;Emotiva;Unisex;?;Musica & hobby;https://m.media-amazon.com/images/I/31YbKMWE6YL._AC_.jpg;0
Custodia Smartphone personalizzata;18,9;https://www.amazon.it/Coverpersonalizzate-Personalizzata-Samsung-Immagine-Scritta/dp/B09645VKW9/ref=zg_mg_g_electronics_d_sccl_1/261-1041322-4088136?th=1;Regalo aziendale;Amico;18-55;Pratica;Unisex;?;Tech;https://m.media-amazon.com/images/I/51eG2UKxIFL._AC_.jpg;0
Custodia Smartphone personalizzata;18,9;https://www.amazon.it/Coverpersonalizzate-Personalizzata-Samsung-Immagine-Scritta/dp/B09645VKW9/ref=zg_mg_g_electronics_d_sccl_1/261-1041322-4088136?th=1;Compleanno;Amico;18-55;Pratica;Unisex;?;Tech;https://m.media-amazon.com/images/I/51eG2UKxIFL._AC_.jpg;0
Custodia Smartphone personalizzata;18,9;https://www.amazon.it/Coverpersonalizzate-Personalizzata-Samsung-Immagine-Scritta/dp/B09645VKW9/ref=zg_mg_g_electronics_d_sccl_1/261-1041322-4088136?th=1;Natale;Amico;18-55;Pratica;Unisex;?;Tech;https://m.media-amazon.com/images/I/51eG2UKxIFL._AC_.jpg;0
Custodia Iphone 15 personalizzata;14,9;https://www.amazon.it/CUSTOMIZZA-Custodia-compatibile-personalizzata-immagine/dp/B0CKBL7SZ2/ref=zg_mg_g_electronics_d_sccl_14/261-1041322-4088136?th=1;Regalo aziendale;Amico;14-55;Pratica;Unisex;?;Tech;https://m.media-amazon.com/images/I/41UQa4ybhyL._AC_.jpg;0
Custodia Iphone 15 personalizzata;14,9;https://www.amazon.it/CUSTOMIZZA-Custodia-compatibile-personalizzata-immagine/dp/B0CKBL7SZ2/ref=zg_mg_g_electronics_d_sccl_14/261-1041322-4088136?th=1;Compleanno;Amico;14-55;Pratica;Unisex;?;Tech;https://m.media-amazon.com/images/I/41UQa4ybhyL._AC_.jpg;0
Custodia Iphone 15 personalizzata;14,9;https://www.amazon.it/CUSTOMIZZA-Custodia-compatibile-personalizzata-immagine/dp/B0CKBL7SZ2/ref=zg_mg_g_electronics_d_sccl_14/261-1041322-4088136?th=1;Natale;Amico;14-55;Pratica;Unisex;?;Tech;https://m.media-amazon.com/images/I/41UQa4ybhyL._AC_.jpg;0
